"shop_id","domain_url","domain_registration_date","is_young_domain","contact_email","logo_url","legitimate"
"1075","https://www.ral-farben.de","","2","3","1","1"
"1076","https://www.menhigh-level.com","2023-08-15 02:44:00","1","0","1","0"
"1077","https://www.chicwearheaven.com","2023-04-20 05:49:00","1","0","1","0"
"1078","https://cheffix.eu","","2","0","1","1"
"1079","https://www.computersalenew.com","2023-05-04 06:14:00","1","0","1","0"
"1080","https://www.kindsoftools.com","2023-06-06 00:00:00","1","0","1","0"
"1081","https://www.kamagrashop24.com","2021-07-05 10:13:00","0","0","0","0"
"1082","https://www.zalando.co.uk","2008-08-19 00:00:00","0","2","1","1"
"1083","https://www.bfarmacia.com","2020-04-13 21:52:00","0","0","0","0"
"1084","https://ivyoak.com","2017-03-14 18:14:00","0","2","1","1"
"1085","https://www.withmysunglasses.com","2015-12-03 12:01:00","0","2","1","1"
"1086","https://yndrm.bio","2023-07-27 00:00:00","1","2","0","0"
"1087","https://www.pipstudio.com","2005-06-17 15:27:00","0","2","1","1"
"1088","https://www.knivesoff.com","2023-07-19 01:53:00","1","3","1","0"
"1089","https://dakiheaven.eu","","2","2","1","1"
"1090","https://www.monsoon.co.uk","","2","2","1","1"
"1091","https://www.einfachbaby.de","","2","2","1","0"
"1092","https://useclecticshop.com","2023-05-16 05:42:00","1","0","1","0"
"1093","https://www.designsswimsuit.com","2023-06-16 08:26:00","1","0","1","0"
"1094","https://www.salecampingshop.com","2023-07-19 06:59:00","1","0","1","0"
"1095","https://www.loakeofficial.com","2023-06-11 09:32:00","1","1","0","0"
"1096","https://coffeeclick.ie","2016-06-08 00:00:00","0","2","1","1"
"1097","https://www.onsaleqsstools.com","2023-07-29 09:19:00","1","0","1","0"
"1098","https://www.fairybell.com/en","2015-09-29 18:17:00","0","2","0","1"
"1099","https://www.jbhifi.com.au","","2","0","1","1"
"1100","https://www.apharmacie.com","2021-02-17 09:34:00","0","0","1","0"
"1101","https://theamisycompany.com","2018-04-13 10:58:00","0","1","1","1"
"1102","https://www.eurocarparts.com","1999-02-25 05:00:00","0","2","1","1"
"1103","https://www.agofstore.com","2010-12-18 00:00:00","0","0","1","1"
"1104","https://www.feuerwear.com","2009-04-01 17:03:00","0","3","1","1"
"1105","https://www.kitchenwarehubde.com","2023-06-23 07:42:00","1","0","1","0"
"1106","https://www.boldano.de","","2","0","1","0"
"1107","https://weinteufel.de","","2","2","0","1"
"1108","https://www.77onlineshop.eu","","2","2","0","1"
"1109","https://www.ivabriketts.com","2022-08-15 17:42:00","1","2","1","0"
"1110","https://www.fishapparelshoe.com","2023-01-11 00:00:00","1","0","0","0"
"1111","https://www.girlstrenduk.com","2023-03-16 00:00:00","1","0","1","0"
"1112","https://www.ensuenosecuador.com","2022-11-09 03:06:00","1","0","1","0"
"1113","https://www.salemotorsports.com","2023-07-26 06:50:00","1","0","1","0"
"1114","https://potentialmill.com","2021-03-29 10:54:00","0","1","1","0"
"1115","https://www.maximilian.it/en","2000-10-26 00:00:00","0","2","1","1"
"1116","https://veloklinika.lt","2016-10-14 00:00:00","0","2","1","1"
"1117","https://www.medikos.lt","2013-06-07 00:00:00","0","2","1","1"
